"","values","white_win","white_win_top","white_win_bottom","black_win","black_win_top","black_win_bottom","draw","draw_bottom","draw_top"
"1","Caro-Kann Defense",0.493150684931507,0.532534246575342,0.452054794520548,0.450342465753425,0.48972602739726,0.410958904109589,0.0565068493150685,0.0393835616438356,0.0753424657534247
"2","English Opening",0.548251748251748,0.584615384615385,0.511923643455672,0.411188811188811,0.446153846153846,0.377622377622378,0.0405594405594406,0.0251748251748252,0.0559440559440559
"3","French Defense",0.487291212781409,0.513416554051703,0.460421205519245,0.462599854756717,0.487272763202029,0.435003631082062,0.0501089324618736,0.0392156862745098,0.0631808278867102
"4","Italian Game",0.489495798319328,0.519957983193277,0.456959459107989,0.46218487394958,0.493697478991597,0.432773109243697,0.0483193277310924,0.0357142857142857,0.0619747899159664
"5","King's Pawn Game",0.481605351170569,0.511705685618729,0.448160535117057,0.479375696767001,0.512820512820513,0.448160535117057,0.0390189520624303,0.0256693479050229,0.0512820512820513
"6","Philidor Defense",0.573134328358209,0.61044776119403,0.537313432835821,0.385074626865672,0.419365067058499,0.347761194029851,0.0417910447761194,0.026865671641791,0.0596635745211858
"7","Queen's Pawn Game",0.463009143807149,0.492103075644223,0.43640897755611,0.488778054862843,0.517871986699917,0.460515378221114,0.0482128013300083,0.0365752285951787,0.0606816292601829
"8","Ruy Lopez",0.524038461538462,0.558894230769231,0.490384615384615,0.419471153846154,0.453094465059128,0.384615384615385,0.0564903846153846,0.0408653846153846,0.0721153846153846
"9","Scandinavian Defense",0.496463932107496,0.53320310456746,0.45968882602546,0.466760961810467,0.502121640735502,0.428571428571429,0.0367751060820368,0.0226308345120226,0.0509193776520509
"10","Sicilian Defense",0.456799690042619,0.477324523413094,0.436652460286711,0.493994575745835,0.513754358775668,0.476172026346377,0.0488182874854707,0.0402944595118171,0.0577295621851995
