"","values","white_win","white_win_top","white_win_bottom","black_win","black_win_top","black_win_bottom","draw","draw_bottom","draw_top"
"1",-900,0.0333333333333333,0.1,0,0.966666666666667,1,0.9,0,0,0
"2",-800,0.0625,0.145833333333333,0,0.895833333333333,0.979166666666667,0.8125,0.0416666666666667,0,0.104166666666667
"3",-700,0.10126582278481,0.176893606698665,0.0379746835443038,0.860759493670886,0.936708860759494,0.784810126582278,0.0379746835443038,0,0.0886075949367089
"4",-600,0.172661870503597,0.237410071942446,0.115107913669065,0.805755395683453,0.863309352517986,0.733812949640288,0.0215827338129496,0,0.0503597122302158
"5",-500,0.153543307086614,0.196850393700787,0.106299212598425,0.826771653543307,0.869978720193679,0.779527559055118,0.0196850393700787,0.00393700787401575,0.0393700787401575
"6",-400,0.182519280205656,0.223585076938803,0.143958868894602,0.791773778920309,0.830334190231362,0.750707982187161,0.025706940874036,0.0102827763496144,0.0411311053984576
"7",-300,0.19060773480663,0.219613259668508,0.162983425414365,0.779005524861878,0.81208451637899,0.75,0.0303867403314917,0.0193370165745856,0.0428176795580111
"8",-200,0.260188087774295,0.28448275862069,0.237460815047022,0.69435736677116,0.720219435736677,0.666164110557058,0.0454545454545455,0.0336990595611285,0.0572100313479624
"9",-100,0.345564328843474,0.366465397120297,0.326068464965539,0.602879702740362,0.623304502986156,0.58151416627961,0.0515559684161635,0.0427310729215049,0.0613098002786809
"10",0,0.447102115915363,0.461119868872675,0.431922723091076,0.49655013799448,0.510107909351055,0.482066560503865,0.0563477460901564,0.0492238742113168,0.063241627168628
"11",100,0.531766753698869,0.546121539366666,0.516976807021498,0.41710182767624,0.432114882506527,0.401871192341166,0.0504786771105309,0.0441743701198445,0.0574412532637076
"12",200,0.636752136752137,0.65597204911504,0.617948717948718,0.31965811965812,0.337606837606838,0.301282051282051,0.0435897435897436,0.0363247863247863,0.0517094017094017
"13",300,0.745699326851159,0.768885564697083,0.721765145848915,0.213163799551234,0.234106207928197,0.191492449566795,0.0411368735976066,0.031413612565445,0.0508601346297681
"14",400,0.781127129750983,0.81127129750983,0.751016258284149,0.18872870249017,0.217562254259502,0.159928447012851,0.0301441677588467,0.018348623853211,0.0445609436435125
"15",500,0.821428571428571,0.855042016806723,0.783613445378151,0.132352941176471,0.163865546218487,0.102941176470588,0.046218487394958,0.0294117647058824,0.0651260504201681
"16",600,0.846153846153846,0.884615384615385,0.804195804195804,0.111888111888112,0.15034965034965,0.0769230769230769,0.041958041958042,0.020979020979021,0.0664335664335664
"17",700,0.851063829787234,0.907801418439716,0.787234042553192,0.127659574468085,0.191489361702128,0.0780141843971631,0.0212765957446809,0,0.049645390070922
"18",800,0.83695652173913,0.91304347826087,0.760869565217391,0.0978260869565217,0.16304347826087,0.0434782608695652,0.0652173913043478,0.0217391304347826,0.119565217391304
"19",900,0.956521739130435,1,0.891304347826087,0.0217391304347826,0.0652173913043478,0,0.0217391304347826,0,0.0652173913043478
"20",1000,0.925,1,0.825,0.05,0.125,0,0.025,0,0.075
"21",1100,0.875,1,0.6875,0.0625,0.1875,0,0.0625,0,0.1875
